run_index,profile_name,hybrid_rank,product_id,product_name,category,hybrid_score,q_component,topsis_component,dominant_branch,in_ground_truth_top7,top_shap_features,linear_sanity_check_features
0,balanced,1,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,0.9999999998142215,0.4999999998780889,0.49999999993613253,TOPSIS,True,not_sampled,popularity_pct=+0.0685; quality_pct=+0.0629; price_pct=+0.0598; rating_count=+0.0507; rating_pct=+0.0502
0,balanced,2,B00NNQMYNE,"AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger E",Computers,0.7885860025053568,0.311825288287347,0.47676071421800986,TOPSIS,True,not_sampled,rating_pct=+0.0611; quality_pct=+0.0577; popularity_pct=+0.0490; price_pct=+0.0476; recency_pct=-0.0052
0,balanced,3,B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",Electronics,0.7783873012491067,0.28576659146896416,0.49262070978014255,TOPSIS,True,not_sampled,rating_pct=+0.0611; quality_pct=+0.0583; popularity_pct=+0.0548; price_pct=+0.0534; recency_pct=+0.0311
0,balanced,4,B08NCKT9FG,Boat A 350 Type C Cable 1.5m(Jet Black),Computers,0.761498768341623,0.2911441766215782,0.47035459172004485,TOPSIS,True,not_sampled,popularity_pct=+0.0545; quality_pct=+0.0541; rating_pct=+0.0502; price_pct=+0.0476; recency_pct=+0.0191
0,balanced,5,B075ZTJ9XR,"AmazonBasics High-Speed Braided HDMI Cable - 3 Feet - Supports Ethernet, 3D, 4K and Audio Return (Black)",Electronics,0.7541845942526672,0.27100257956100804,0.4831820146916591,TOPSIS,True,not_sampled,popularity_pct=+0.0593; quality_pct=+0.0554; price_pct=+0.0534; rating_pct=+0.0502; recency_pct=+0.0133
0,balanced,6,B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Computers,0.7508833899337841,0.30024557964863985,0.45063781028514427,TOPSIS,True,not_sampled,popularity_pct=+0.0565; quality_pct=+0.0522; price_pct=+0.0518; rating_pct=+0.0324; recency_pct=-0.0173
0,balanced,7,B08CT62BM1,"Wayona USB Type C Fast Charging Cable Charger Cord 3A QC 3.0 Data Cable Compatible with Samsung Galaxy S10e S10 S9 S8 S20 Plus, Note 10 9 8, M51 A40 A50 A70, Mo",Computers,0.636875198530235,0.3144606302967291,0.3224145682335059,TOPSIS,False,not_sampled,price_pct=+0.0476; rating_pct=+0.0324; quality_pct=+0.0280; recency_pct=+0.0242; popularity_pct=-0.0216
0,budget,1,B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon",Electronics,0.9469996110555928,0.4970128783937071,0.4499867326618857,RL,True,not_sampled,price_pct=+0.0735; quality_pct=+0.0496; popularity_pct=+0.0424; rating_pct=+0.0324; recency_pct=+0.0281
0,budget,2,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,0.9434086781587767,0.4434086782226441,0.49999999993613253,TOPSIS,True,quality_pct=+0.2200; price_pct=+0.0964; review_text_richness=+0.0214; rating_pct=+0.0118; recency_pct=+0.0098,popularity_pct=+0.0685; quality_pct=+0.0629; price_pct=+0.0598; rating_count=+0.0507; rating_pct=+0.0502
0,budget,3,B07N8RQ6W7,Portronics MODESK POR-122 Universal Mobile Tabletop Holder (Black),Electronics,0.8402394002743403,0.4910128310770974,0.3492265691972428,RL,False,not_sampled,price_pct=+0.0717; popularity_pct=+0.0455; recency_pct=+0.0306; quality_pct=+0.0103; discount_pct=-0.0097
0,budget,4,B07H3WDC4X,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying 400 W (Blue, Pink)",HomeKitchen,0.8290666843049879,0.4960694361961395,0.3329972481088483,RL,False,not_sampled,popularity_pct=+0.0445; price_pct=+0.0408; quality_pct=+0.0395; rating_pct=-0.0269; recency_pct=+0.0206
0,budget,5,B00VA7YYUO,Apsara Platinum Pencils Value Pack - Pack of 20,HomeKitchen,0.8229262515757056,0.4999999998877337,0.32292625168797195,RL,True,not_sampled,price_pct=+0.0753; rating_pct=+0.0324; recency_pct=-0.0288; discount_pct=+0.0128; quality_pct=-0.0124
0,budget,6,B00SH18114,"Ikea 903.391.72 Polypropylene Plastic Solid Bevara Sealing Clip (Multicolour) - 30 Pack, Adjustable",HomeKitchen,0.8224890216894578,0.47115720252210425,0.3513318191673536,RL,False,price_pct=+0.0618; quality_pct=+0.0246; review_text_richness=+0.0170; rating_pct=+0.0137; popularity_pct=-0.0025,price_pct=+0.0677; rating_pct=+0.0673; popularity_pct=-0.0194; quality_pct=+0.0181; rating_count=-0.0014
0,budget,7,B00S2SEV7K,"Pilot Frixion Clicker Roller Pen (Blue), (9000019529)",Computers,0.8219466483158868,0.4902494688946166,0.3316971794212702,RL,True,not_sampled,price_pct=+0.0765; recency_pct=-0.0262; quality_pct=+0.0246; discount_pct=+0.0100; rating_pct=-0.0079
0,explorer,1,B015ZXUDD0,"Duracell Rechargeable AA 1300mAh Batteries, 4Pcs",Electronics,0.9029457087245556,0.4999999998716283,0.40294570885292724,RL,True,not_sampled,quality_pct=+0.0535; popularity_pct=+0.0349; rating_pct=+0.0324; price_pct=+0.0272; recency_pct=-0.0218
0,explorer,2,B08NCKT9FG,Boat A 350 Type C Cable 1.5m(Jet Black),Computers,0.8249051652326451,0.35455057351260033,0.47035459172004485,TOPSIS,True,not_sampled,popularity_pct=+0.0545; quality_pct=+0.0541; rating_pct=+0.0502; price_pct=+0.0476; recency_pct=+0.0191
0,explorer,3,B075ZTJ9XR,"AmazonBasics High-Speed Braided HDMI Cable - 3 Feet - Supports Ethernet, 3D, 4K and Audio Return (Black)",Electronics,0.8216423187805029,0.33846030408884376,0.4831820146916591,TOPSIS,True,not_sampled,popularity_pct=+0.0593; quality_pct=+0.0554; price_pct=+0.0534; rating_pct=+0.0502; recency_pct=+0.0133
0,explorer,4,B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",Electronics,0.7865515407630471,0.29393083098290457,0.49262070978014255,TOPSIS,True,not_sampled,rating_pct=+0.0611; quality_pct=+0.0583; popularity_pct=+0.0548; price_pct=+0.0534; recency_pct=+0.0311
0,explorer,5,B08MTLLSL8,boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Green),Electronics,0.7178058886974739,0.31547473779273727,0.4023311509047366,TOPSIS,True,not_sampled,popularity_pct=+0.0641; quality_pct=+0.0506; price_pct=+0.0338; recency_pct=+0.0229; rating_pct=+0.0111
0,explorer,6,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Gre",Computers,0.7038088269226703,0.3130701295831092,0.3907386973395611,TOPSIS,True,not_sampled,popularity_pct=+0.0521; quality_pct=+0.0444; price_pct=+0.0338; recency_pct=+0.0198; rating_pct=+0.0111
0,explorer,7,B07GQD4K6L,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),Electronics,0.6667151738338174,0.28168685725982257,0.38502831657399483,TOPSIS,True,not_sampled,popularity_pct=+0.0682; quality_pct=+0.0609; rating_count=+0.0429; price_pct=+0.0378; recency_pct=+0.0177
0,loyal,1,B074CWD7MS,"Digitek DTR 550 LW (67 Inch) Tripod For DSLR, Camera |Operating Height: 5.57 Feet | Maximum Load Capacity up to 4.5kg | Portable Lightweight Aluminum Tripod wit",Electronics,0.860430870879342,0.4999999999083271,0.36043087097101484,RL,True,not_sampled,quality_pct=+0.0613; rating_pct=+0.0502; popularity_pct=+0.0428; price_pct=-0.0252; recency_pct=-0.0077
0,loyal,2,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,0.7920397052496899,0.2920397053135574,0.49999999993613253,TOPSIS,True,not_sampled,popularity_pct=+0.0685; quality_pct=+0.0629; price_pct=+0.0598; rating_count=+0.0507; rating_pct=+0.0502
0,loyal,3,B08MTLLSL8,boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Green),Electronics,0.7021442157926303,0.29981306488789367,0.4023311509047366,TOPSIS,True,not_sampled,popularity_pct=+0.0641; quality_pct=+0.0506; price_pct=+0.0338; recency_pct=+0.0229; rating_pct=+0.0111
0,loyal,4,B0BDRVFDKP,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics,0.6931202132639973,0.2602677879028578,0.4328524253611395,TOPSIS,True,not_sampled,popularity_pct=+0.0630; quality_pct=+0.0528; rating_pct=+0.0502; price_pct=+0.0198; rating_count=+0.0065
0,loyal,5,B015ZXUDD0,"Duracell Rechargeable AA 1300mAh Batteries, 4Pcs",Electronics,0.6676255638768451,0.26467985502391794,0.40294570885292724,TOPSIS,True,not_sampled,quality_pct=+0.0535; popularity_pct=+0.0349; rating_pct=+0.0324; price_pct=+0.0272; recency_pct=-0.0218
0,loyal,6,B08GYG6T12,"SanDisk Ultra SDHC UHS-I Card 32GB 120MB/s R for DSLR Cameras, for Full HD Recording, 10Y Warranty",Electronics,0.6626959831201069,0.21356366405342103,0.4491323190666858,TOPSIS,True,not_sampled,popularity_pct=+0.0634; quality_pct=+0.0558; rating_pct=+0.0502; price_pct=+0.0290; rating_count=+0.0068
0,loyal,7,B09MQSCJQ1,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 AT",Electronics,0.6365891974512036,0.3111508704550547,0.3254383269961489,TOPSIS,False,not_sampled,popularity_pct=+0.0637; quality_pct=+0.0564; price_pct=-0.0376; recency_pct=+0.0255; rating_pct=+0.0111
0,quality_seeker,1,B09RKFBCV7,"Fire-Boltt Ninja Calling 1.69"" Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Watch Fac",Electronics,0.8262478660908212,0.49999999992067007,0.3262478661701511,RL,True,not_sampled,quality_pct=+0.0580; popularity_pct=+0.0562; price_pct=-0.0338; recency_pct=+0.0272; rating_pct=+0.0111
0,quality_seeker,2,B08C4Z69LN,Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,Computers,0.7433304126054566,0.3748255582894421,0.36850485431601454,RL,True,not_sampled,quality_pct=+0.0648; rating_pct=+0.0611; popularity_pct=+0.0541; price_pct=-0.0300; recency_pct=+0.0039
0,quality_seeker,3,B074CWD7MS,"Digitek DTR 550 LW (67 Inch) Tripod For DSLR, Camera |Operating Height: 5.57 Feet | Maximum Load Capacity up to 4.5kg | Portable Lightweight Aluminum Tripod wit",Electronics,0.7003586896264417,0.3399278186554268,0.36043087097101484,TOPSIS,True,not_sampled,quality_pct=+0.0613; rating_pct=+0.0502; popularity_pct=+0.0428; price_pct=-0.0252; recency_pct=-0.0077
0,quality_seeker,4,B07TR5HSR9,MemeHo® Smart Standard Multi-Purpose Laptop Table with Dock Stand/Study Table/Bed Table/Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs/Engineered,Computers,0.6857707760041105,0.2789583094810808,0.40681246652302966,TOPSIS,True,not_sampled,quality_pct=+0.0619; popularity_pct=+0.0538; rating_pct=+0.0324; price_pct=+0.0139; recency_pct=+0.0112
0,quality_seeker,5,B0BDRVFDKP,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics,0.6780025566543326,0.24515013129319307,0.4328524253611395,TOPSIS,True,not_sampled,popularity_pct=+0.0630; quality_pct=+0.0528; rating_pct=+0.0502; price_pct=+0.0198; rating_count=+0.0065
0,quality_seeker,6,B01MF8MB65,boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),Electronics,0.6622319993999755,0.3006827782168898,0.36154922118308563,TOPSIS,True,not_sampled,popularity_pct=+0.0678; quality_pct=+0.0603; rating_count=+0.0318; recency_pct=-0.0129; price_pct=+0.0119
0,quality_seeker,7,B0BF54LXW6,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Electronics,0.6462394491845203,0.33365050982161115,0.31258893936290905,RL,True,not_sampled,quality_pct=+0.0502; popularity_pct=+0.0397; recency_pct=+0.0329; price_pct=-0.0310; discount_pct=-0.0125
